word,count
元至,3989
台灣,3973
不久,3921
轉到,3920
是否,3913
受害者,3891
異常,3819
一起,3813
一天,3803
交貨,3793
單純,3771
站上,3738
包裹,3696
假買家,3694
提到,3689
打電話,3681
能夠,3681
出現,3679
查證,3676
再也,3674
共計,3656
在網,3655
這讓,3649
一段,3647
過去,3641
物流,3630
主動,3626
需求,3620
準備,3608
越來,3588
實名制,3573
賣場,3573
成為,3569
猶豫,3554
男子,3514
失聯,3504
訂購,3500
戒心,3491
引導,3485
學到,3476
陌生,3459
郵件,3453
趕快,3447
帳戶裡,3435
提出,3429
拿到,3423
根本就是,3389
這時候,3382
當天,3375
東西,3359
辦理,3349
失敗,3343
掉入,3338
發生,3312
尤其,3310
以為,3280
生活,3269
強調,3258
真是,3243
之前,3233
不錯,3223
奇怪,3186
風險,3173
收益,3172
名叫,3168
隔天,3150
穩定,3149
故至,3146
我信,3135
傳來,3102
討論,3100
無奈,3092
繳費,3091
還給,3075
存款,3067
地點,3062
出來,3059
總共損,3057
匯入,3050
放下,3047
經過,3046
像是,3042
登入,3032
親切,3026
對方聲,3024
一張,3021
紀錄,3014
借錢,3012
身份,3004
很多,2978
警惕,2973
填寫,2963
程序,2960
千萬,2960
交給,2955
金流,2954
實名,2953
合理,2944
充滿,2940
中國信,2927
傳送,2911
門票,2910
不到,2904
多次,2888
元到,2886
通話,2884
調查,2866
計損,2863
網銀,2859
證明,2849
金流驗證,2841
千元,2824
每天,2809
有異,2806
一點,2796
獎金,2794
總共,2784
領獎,2768
好像,2764
交易所,2762
獲得,2759
購物,2750
接下,2745
親友,2743
點擊,2727
過了,2722
網頁,2720
數字,2712
連結給,2711
二手,2699
刷卡,2694
否則,2689
幫助,2672
聊得,2666
本人,2664
約定,2661
留言,2657
惟因,2651
叫做,2645
拖延,2642
簡單,2634
給對方,2629
圈套,2617
上當,2616
我將,2594
熱情,2589
領取,2587
第三方,2566
聽起,2555
功能,2554
已讀,2549
幾個,2549
安排,2546
轉了,2508
心中,2503
並將,2502
我試,2499
轉入,2499
指導,2496
試試,2492
證作業,2483
貨便,2482
加上,2478
有個,2477
興趣,2473
快速,2470
某天,2469
女子,2452
錯誤,2448
事件,2444
手續費,2443
真正,2427
保障,2427
太多,2422
話術,2418
案件,2417
辛苦,2416
不再,2414
未來,2413
特別,2408
交流,2404
解決,2402
分別,2399
案例,2399
無卡,2394
大約,2393
騙子,2377
選擇,2376
名字,2375
影片,2374
警局,2372
時許,2368
查詢,2368
訂金,2358
找到,2356
報酬,2353
建議,2350
仔細,2344
如何,2344
某個,2343
進行驗,2343
附上,2339
消息,2339
了解,2338
一封,2333
認為,2313
名下,2310
至該,2307
借款,2305
積蓄,2297
就點,2295
左右,2292
可疑,2290
保持,2289
可是,2288
徹底,2286
畫面,2271
抖音,2271
臨櫃,2268
不少,2266
第一次,2257
回來,2255
講得,2242
更多人,2241
出貨,2240
以免,2240
答應,2231
這位,2225
轉出,2218
我覺,2216
遲遲,2211
沒想,2207
平常,2199
今天,2196
不僅,2195
通過,2185
下來,2185
被害人,2184
租屋,2183
解鎖,2180
投資虛擬,2173
便宜,2164
就照,2159
正在,2151
獲利時,2145
訂單,2142
陷入,2141
隨著,2134
群組裡,2133
補助,2132
一切都是,2131
兩個,2130
刊登,2118
我在網,2097
線上,2092
正式,2089
在家,2088
恐嚇,2080
代工,2067
出售,2063
變成,2063
站名,2062
視訊,2056
第一,2053
早上,2053
世界,2049
依對方,2045
而是,2044
老師,2038
多元,2034
每次,2029
說要,2023
公益,2022
嘗試,2021
怪怪的,2016
今年,2003
月初,2002
打開,2000
泰達幣,1999
尚未,1992
他人,1992
財產,1992
證件,1991
交易平台,1981
接獲,1970
單位,1969
我還,1968
助理,1955
社團裡,1953
合作,1948
傻傻,1946
似的,1934
家中,1917
全家,1908
確實,1906
審核,1902
查看,1898
序號,1897
小額,1892
半信半疑,1891
他給,1883
狀況,1882
上面,1882
金時,1881
申辦,1877
簽署,1876
擔心,1874
數卡,1868
貨到,1867
懊惱,1854
其實,1846
管道,1835
收款,1834
免費,1828
毫不,1828
信用,1821
說明,1820
滿心,1818
我誤,1814
此時,1812
承諾,1811
簡直,1804
好奇,1801
總計,1798
繳納,1796
並傳,1795
家庭,1793
一陣子,1791
導致,1781
一片空白,1776
腦袋,1774
頭頭,1771
幾次,1771
真實,1767
買賣,1762
深深,1761
但當,1760
無助,1759
通金流,1758
我聯絡,1758
清楚,1757
居然,1745
相當,1741
獲利出,1739
保護,1739
心情,1736
筆款,1735
運費,1734
有限公司,1734
女兒,1734
增加,1730
先付,1730
回想,1728
恍然大悟,1727
解除,1722
變得,1718
給他,1712
姓名,1712
等到,1711
重蹈,1707
覆轍,1706
那時,1693
交保,1693
不讀,1689
一組,1688
開啟,1683
交往,1680
目前,1672
兩筆,1672
不已,1668
面上,1667
過沒,1666
捐款,1660
兒子,1657
場並,1656
專線,1655
販賣,1653
便利商店,1652
創建賣,1649
基金,1646
並在,1644
證碼,1642
兩次,1637
聽到,1635
無論,1635
是不是,1631
女生,1627
當初,1627
邀請,1624
兩張,1619
高額,1617
會員,1611
當受,1610
匯到,1608
作為,1606
那種,1605
我先,1601
拒絕,1599
看著,1599
借貸,1598
同事,1597
電話給,1595
消費,1593
只想,1593
卡號,1588
詳細,1581
直播,1578
更多,1578
對方以,1577
一種,1569
證金,1566
刪除,1562
高達,1561
始知,1557
逐漸,1549
確定,1549
剛好,1543
一款,1543
寄給,1541
發文,1537
事宜,1533
持續,1531
之下,1531
似乎,1530
取得,1529
機構,1524
傳訊息,1519
瞬間,1518
那麼,1514
受害,1514
更是,1508
隨後傳,1506
就加,1504
聲音,1499
某日,1494
十分,1494
害怕,1492
還強,1492
大概,1488
慘痛,1479
催促,1477
周邊,1475
手續,1473
包裝,1469
血汗,1462
用戶,1458
聊著,1458
等待,1453
求助,1453
其中,1451
稱無法,1450
玉山,1444
中午,1443
不然,1442
信以,1439
看見,1438
切勿,1437
等等,1437
沒過,1432
這場,1430
本金,1427
許多,1424
取貨,1423
先匯,1420
期間,1419
步驟,1417
並未,1415
組裡,1413
物品,1412
分許,1411
匯出,1411
該平,1411
不見,1410
新竹,1409
疑惑,1406
謊稱,1405
檢察官,1396
盡快,1396
不過,1394
存下,1392
我購,1389
建立,1388
迷心,1388
回傳,1386
威脅,1386
我終,1381
元給,1378
科技,1378
請求,1376
停止,1374
結束,1374
兼職,1374
列為,1374
早就,1370
反詐,1365
全都,1364
熟悉,1361
綁定,1359
憤怒,1357
再三,1357
加碼,1356
扣款,1356
個資,1354
喜歡,1354
點多,1353
遭盜,1352
經營,1349
行為,1347
匯款給,1347
瀏覽,1346
辦法,1343
未開,1340
價值,1336
這裡,1333
整件事,1332
房子,1331
我要,1328
故事,1326
興奮,1322
根據,1319
必要,1317
保留,1317
重要,1314
剩下,1313
這段,1313
螢幕,1309
計畫,1309
認證碼,1309
社交,1305
想想,1305
合法,1304
方案,1299
看看,1299
那位,1297
同意,1295
投資詐,1294
冷靜,1289
美金,1287
額外,1283
創建,1283
領出,1283
因有,1281
只有,1280
買家聲,1273
畢竟,1272
這類,1271
上網,1267
名義,1267
我拉進,1267
警察局,1267
轉走,1267
三次,1260
打來,1259
沒什麼,1259
購買遊,1255
還傳,1254
我稱,1253
只好,1252
多年,1247
稱要,1247
戲點數,1246
主管,1245
實際,1244
慢慢,1243
相約,1241
遭受,1241
中心,1241
深信不疑,1240
丟了,1240
蒸發,1239
先生,1239
雙方談,1229
誘人,1229
探探,1226
上午,1225
還把,1223
餡餅,1223
幾乎,1219
全部,1217
悔恨,1215
剛開始,1212
今日,1211
交朋友,1210
就要,1209
我輸入,1209
如此,1209
購買點,1207
交出,1207
困難,1205
音上,1202
稅金,1200
談妥,1199
嫌疑人,1197
甜言,1196
藉口,1194
標榜,1193
發覺,1188
程式,1185
過來,1183
虛假,1182
嘉里,1180
蜜語,1179
心態,1179
預付,1176
猛然,1175
傻眼,1175
公仔,1173
關閉,1171
附近,1168
專家,1168
財務,1164
不同,1164
早已,1163
還款,1159
政府,1158
務必,1158
並以,1155
轉給,1155
去年,1155
解釋,1154
語音,1154
釣魚,1153
一共,1152
核實,1152
對方要,1151
刑事案件,1151
有意,1151
黑貓,1149
數並,1148
成員,1146
凌晨,1144
冒用,1143
還叫,1140
造成,1138
我家,1138
一瞬,1134
產生,1134
說法,1134
將我,1132
月底,1132
一心,1131
退還,1129
材料,1129
乖乖,1126
頁面,1125
愣住,1124
獲自稱,1124
欺騙,1123
得到,1122
遭騙,1120
誠懇,1120
網購,1119
關心,1118
共損,1116
始終,1115
感情,1113
受到,1113
並稱,1112
臨時,1112
求職,1110
狠狠,1108
差點,1107
並沒有,1103
之後對方,1102
友人,1102
遇上,1102
回頭,1102
一堆,1102
並說,1101
清醒,1101
對方給,1100
防詐,1099
我用,1099
試圖,1096
自責,1095
驗證碼,1093
確保,1093
迅速,1092
多加,1091
隨後接,1089
即使,1088
挽回,1088
人生,1086
一台,1085
主動加,1084
檢查,1081
滑著,1081
回饋,1081
先繳,1080
但後來,1080
顧問,1077
宣稱,1076
反而,1075
周轉,1073
多少,1072
以便,1071
還不錯,1070
設定,1069
大榮,1068
令人,1068
借用,1067
留下,1067
可靠,1066
轉接,1065
正規,1065
別人,1063
自行,1063
難得,1060
類似,1060
反正,1058
耐心,1058
提議,1057
收入,1055
財富,1055
行員,1055
付出,1054
加一個,1053
千萬別,1051
門市,1049
噩夢,1047
難過,1046
講話,1046
當場,1045
疑慮,1044
沒懷疑,1043
日接,1043
急事,1042
並向,1041
一家,1041
商店,1040
一看,1040
退回,1038
人民,1037
優惠,1037
划算,1034
金管會,1033
中華郵政,1032
有興趣,1032
還在,1031
利潤,1030
開口,1030
除了,1030
絕對,1028
按摩,1026
條件,1025
緊張,1025
還能,1024
現場,1021
對話,1021
一份,1019
明細,1018
相機,1017
方稱,1016
賺點,1016
願意,1014
存入,1013
至今,1012
方以,1011
中旬,1007
實性,1005
買點,1005
寄來,1005
工具,1003
打算,1001
台北,1000
可怕,999
推移,998
抱著,997
急用,997
可惡,994
放心,993
錯過,991
還沒,989
網絡,989
始驚覺,988
疑似,984
結婚,984
將款,983
不足,982
粉絲,981
鼓吹,981
人士,980
賺取,979
提告,978
一查,978
我繼續,977
想購,976
壓力,974
協議,972
幸好,971
我點擊,969
天上,969
容易,966
平時,966
我能,965
股份,964
寄件,964
不堪,963
如今,963
即可,962
部分,958
超商購,956
利息,956
第二次,955
合約,955
辛辛苦苦,952
常見,951
兌換,949
盜刷,948
對象,948
監理,948
影響,948
人間,947
包括,947
餘額,946
往往,946
對方還,945
出金時,945
愚蠢,944
並要,943
將新,943
猶豫地,942
發布,939
麻煩,937
小姐,936
我以,935
我馬上,935
沮喪,932
進度,930
注意,929
方法,928
那時候,926
我現,925
入帳,924
包包,924
不算,923
綠界,921
恐懼,920
典型,916
作業,913
分析,912
臉書訊息,911
不敢相信,910
同樣,908
取消,906
阻止,906
並開始,904
無比,903
超過,901
管理,901
撥款,901
並透過,900
幾筆,899
代管,896
並給,896
獎品,894
轉盤,893
產品,891
網查,890
隨意,890
抵押,890
正好,889
進行驗證,887
起疑,885
來路,882
難以,882
蹊蹺,882
基本,881
傳訊息給,880
並與,880
自身,878
哪裡,875
互動,874
那邊,873
可信,873
內部,873
一再,871
並請,870
追加,870
以利,869
尋求,869
一篇,868
漸漸,868
手上,866
點入,865
本來,865
項目,862
交出去,861
交易方式,861
不想,860
身上,860
將錢,859
玩家,859
重新,858
解凍,856
我接,856
誠意,856
錢匯,855
正當,855
登記,852
保持警惕,850
不願,850
網上,848
法律,846
信箱,845
行動,845
不用,844
客戶,844
代購,842
上述,841
越想,840
嚴肅,840
心地,838
再度,837
給了,837
代價,834
面對,833
鼓勵,832
匯給,830
石沉大海,830
我會,826
薪水,826
測試,825
另外,824
還會,824
暫時,823
信件,823
土地,821
信息,821
聊天室,820
發來,820
初醒,818
住家,817
方向,816
信誓旦旦,816
我頓,815
引以,812
如夢,812
還算,812
國外,812
關鍵,811
當面,811
開心,809
人加,808
還保證,808
專門,808
當然,807
一萬元,806
涉嫌,806
教我如何,805
無意間,803
惡意,801
規定,800
小時,800
不但,798
禮物,797
前陣子,797
欲購,794
參與,794
隨便,794
心頭,794
寄出去,792
溝通,792
地方,791
事有,791
一部分,790
問我,790
錢包,789
當我想,788
之間,787
將近,787
實在,786
敷衍,785
追查,784
國際,784
張貼,781
依其,781
此事,781
日子,781
彰化,779
直至,776
押金,776
特地,775
一開,773
娃娃,773
先匯款,773
面前,772
門號,772
自動,771
遭凍結,770
經紀,770
台中市,770
並聲,769
一件,769
入金,768
一課,768
元新,767
網址給,767
領錢,766
轉進,766
營業員,764
可恨,763
明明,761
衣服,760
工程,760
權益,760
防止,759
信心,758
有關,757
化為,757
誘惑,756
文章,752
戶頭,751
回事,750
天上掉,750
媒體,749
冒充,749
那筆,749
電腦,748
貼文者,748
從頭,748
富邦,747
還以,746
思考,746
忘記,746
心得,745
心扉,744
懊悔不已,744
痛徹,742
套路,742
我嘗試,741
至少,740
周杰倫,740
一則訊息,739
不通,739
可悲,739
接受,738
配通,738
人性,737
繳交,736
自由,735
慘重,734
援交,734
財力,731
整整,730
總金額,729
莫及,729
三萬元,728
收取,728
標題,728
一間,726
總共匯,726
搜尋,726
並把,726
卡及,725
交換,725
裝備,724
筆錢,724
加起,724
騙取,723
偶像,722
第二,721
不大,721
那頭,721
那裡,720
試著,720
一番,720
升級,719
幣商,718
我到,718
焦急,716
金庫,716
還覺,715
互加,715
說會,715
機車,714
不夠,713
聽信,712
還特別,712
心痛,711
貪婪,711
他聲,710
打給,709
並告訴,709
接收,709
不敢,709
更要,709
換來,708
臉書暱,707
又氣,705
任務,705
貨運,705
負責,705
美好,704
負荷,702
幾張,702
記得,701
緊急,701
求證,700
匯了,700
果然,700
之後對,698
他還,698
幾句,698
一天天,697
熟人,696
政事,696
封面,696
多麼,696
手頭,695
鬼迷心,695
更恨,695
記錄,694
蝦皮,691
並保證,690
致富,690
聊起,689
方知,688
香港,688
渴望,688
組內,687
輕信網,687
未通,686
轉至,685
卡寄給,684
商家,684
乾脆,683
或許,683
帳號給,683
條碼,683
急忙,682
一半,682
分局,681
萬元給,680
電商,680
看房,680
熱絡,679
打工,679
我匯,678
卸下,677
不小,677
巨大,676
主任,674
戲點,673
車手,673
還用,672
我想,671
接觸,671
課程,671
溫柔,668
既然,667
投資群,667
不了,666
用品,665
進一個,664
機票,664
之人,663
對方用,663
旋轉,662
之後他,661
票券,660
商代,658
假網,658
打電話給,656
裡的,656
我始,654
互相,652
錢給,652
多方,652
比較,651
加密,651
謊言,650
匯錢,649
回訊息,647
烏有,647
一邊,645
結果後來,644
誘導,644
賺來,643
不動產,643
想著,643
實體,643
五萬元,641
再付,641
家裡,641
更新,640
丟給,640
每個,639
存在,639
並邀,639
群組內,639
熱心,638
犯嫌,636
先行,635
全新,635
我本來,635
一模,635
發給,634
尋找,634
谷底,633
更改,632
並依,631
我並,631
高雄,630
話題,630
高度,630
來源,629
或是,629
數據,629
債務,628
原因,628
發送,628
易地,627
描述,625
內心,625
回家,624
提示,624
資產,623
便線,622
市場,622
翡翠,622
感興趣,621
還貼,620
不符,619
元過,619
先購,618
展示,617
方不斷,617
小數目,617
應用,617
機關,617
可參,617
我報,615
指導下,615
分數,615
流水,614
只覺,613
前來,612
危險,612
文件,611
寫著,611
需先,611
太過,610
樣子,609
焦慮,609
深感,609
一會兒,608
氣氛,608
正反面,607
幸運,607
自然,607
傍晚,606
返還,604
專案,604
愛情,602
取回,602
心防,602
同時,602
股市,600
增長,600
上班,599
結果過,598
需確,598
嚴重,596
元整,596
日期,596
放在,595
裸聊,593
當日,592
閒聊,591
仍然,591
代碼,591
翻倍,591
經濟,590
取票,590
洗錢,589
帳給,589
安心,589
圖片,589
投資金額,588
微信,588
母親,588
新北市,587
還被,586
購票,586
帳單,585
運條款,585
提高警惕,585
努力,584
介面,584
著能,584
氣憤,584
一支,584
地說,583
蒙蔽,582
才察覺,581
總覺,580
該名,578
保險,578
先是,578
絕望,578
額度,577
引導下,577
退貨,577
精品,577
日透過,576
事後查,575
近期,573
大筆,572
方加,572
愉快,572
誠信,571
高雄市,570
盲盒,569
資格,569
改用,569
一頭,569
痛心,569
虛擬幣,568
網銀轉,567
格外,567
找回,566
牽涉,565
設下,563
編號,563
我轉,563
之銀行,562
積極,562
我察覺,561
我問,560
談好,560
還有點,559
貨款,559
普通,559
人頭,558
不管,557
聊到,556
索取,556
她給,556
分匯款,556
生意,555
專頁,554
嚇壞,553
反應,552
外快,552
我後來,552
要購,551
方面,551
一萬,551
回到,550
打擊,550
邀約,549
送到,549
地照,549
證始,549
同一,548
當作,547
這應,546
華南,545
在手,544
整合,542
務所,542
竟是,542
這下,542
惟對,542
察覺,540
定向,540
轉完,540
一陣,538
一條,538
進來,537
網查詢,537
藉由,536
貨物,536
之類,535
收據,535
內容稱,535
隨後我,535
相同,535
提現,534
震驚,534
國泰世華,534
給予,533
閃爍,533
投機,533
原以,532
外匯,532
憑證,532
比特,531
另一名,530
理財,530
提起,530
心急,529
短短,529
激活,528
還加,525
最初,525
私人,525
剛剛,524
一股,524
遊戲點,524
一絲,523
客人,523
始還,521
負責人,521
手段,521
小紅書,520
問對方,519
疏忽,519
還傳來,518
領到,517
說服,517
廠商,517
並加,516
不接,515
我主動,515
還不斷,515
不知,515
通報,514
之後會,514
一副,514
店家,513
指引,512
三筆,511
我詢,510
抽中,510
日至,510
國泰世華銀行,509
統一超,509
累積,509
策劃,509
大量,508
又給,508
完款,508
福利,508
上架,508
無力,507
三張,507
民國,507
總共轉,506
上賣,506
一般,504
忍不住,504
幻想,503
還錢,502
下去,502
行人,502
先轉,501
出租,501
孩子,500
心軟,500
越覺,499
對方馬,499
沉重,498
交友平台,497
依然,496
碰面,496
收購,495
便主動,495
元購,495
彼此,494
四次,493
寄貨,493
帳戶驗證,493
用途,493
女性,491
結識,490
太輕信,490
證字號,490
推銷,489
銀行轉,489
將電話,489
商業,489
冰冷,488
專屬,488
計劃,488
媽媽,487
知名,487
服力,486
先前,486
全數,486
不妙,485
不法,484
房屋,484
轉過,484
一句,484
友善,484
還想,483
卡給,482
寵物,482
歸還,482
小便宜,481
臉書名,481
說現,481
錢轉,481
過賣,479
下旬,478
限時,477
元作,476
騙者,476
方給,476
價錢,476
大意,476
凡是,476
不行,475
透露,474
多筆,474
限制,474
家用,473
精美,473
於網,473
佯稱,472
很大,472
投緣,471
群裡,471
錢過,471
帳戶給,470
天花,470
拿出,469
商城,469
負擔,468
設局,468
以後在網,467
回去,467
信貸,467
三個,466
教學,466
家驗證,465
以法,465
遭人,463
豐厚,461
整理,460
酒店,459
化名,459
一把,458
匯過,458
感受,458
使用者,457
滑到,457
交通,457
桃園,456
之中,456
有位,455
便將,454
值得,454
音訊全,454
日前,453
還好,453
幾分鐘,453
低價,453
這名,452
寄到,452
進詐,452
同日,452
道具,451
目的,450
授權,450
反覆,450
求票,449
當我試,449
零件,449
符合,449
萬元到,449
欺告訴,448
人來,448
貨品,448
深淵,448
開設,447
數位,447
以求,447
父親,447
當晚,447
更換,446
轉接給,446
說還,446
惡夢,445
目標,445
驚訝,444
前面,444
當我嘗試,444
私下,443
驚醒,443
賣場並,443
假借,443
預約,442
匯進,441
成交,441
空軍一號,440
降低,440
棒球,440
事後對方,440
痛苦,439
牽著,439
貪圖,439
退出,438
權限,438
離開,438
維護,438
簽約,438
兩天,438
陸陸續續,437
一開口,437
獎勵,437
終於,436
代為,436
尾款,436
這份,436
近日,436
出新,435
結果當,435
急促,435
戶籍,435
繳款,434
血本,434
謄本,434
輕心,434
過幾天,433
厲害,433
無歸,432
錢會,432
限量,432
接洽,432
寄件人,432
團隊,432
退休,432
碼給,431
本票,431
回過,431
保管,431
心理,431
電信,430
還蠻,430
運氣,429
售票,429
開戶,429
回不來,429
動態,428
卡住,428
外幣,427
便點,427
吸引力,427
發展,426
遊戲幣,425
並推薦,425
湧上,424
對方主動,424
方態度,424
還跟,424
台灣宅,424
就給,423
異狀,423
就算,422
十萬元,422
分行,422
下方,421
價差,421
低風險,420
日本,420
模型,420
截圖給,420
租金,420
轉讓,419
接通,419
清白,419
可觀,419
裡開始,418
雙眼,418
付費,417
帳密,417
再匯,416
大錢,416
換票,416
一則關,415
超級,415
填資料,414
組名,414
改善生活,413
匯完,413
證據,413
台新,412
一口,412
這邊,412
蘋果,411
道理,411
並強,411
不合理,411
登錄,411
小卡,410
遠通,410
親戚,410
到場,410
優先,410
總是,409
白白,409
非法,408
漂亮,408
方聲,408
還介紹,407
一旦,407
情形,407
提取,407
違規,407
底下,406
娛樂城,406
老公,406
情緒,406
腦子,406
方要,405
沒辦法,405
中招,405
提升,405
兩萬元,404
交談,404
第三次,404
全額,404
並慫,404
受理,403
禮品,403
明天,403
內線,403
地轉,402
不及,402
稱會,401
昨天,401
經無法,400
中信,400
汽車,400
並匯款,399
領回,399
恐怕,399
統一,398
充值,398
不可,397
依約,397
層出,397
不窮,397
來加,396
單據,396
約會,396
這起,396
回答,396
失誤,395
妹妹,395
帳驗證,394
收藏,394
影音,394
同學,393
包含,392
換成,392
恐慌,392
泡影,392
親自,391
我點入,391
民眾,391
永豐,391
還主動,390
並介紹,390
發票,390
因而,389
並引導,388
加查,387
沒想過,387
房東,387
要驗證,386
一卡通,386
機時,386
抵押借款,386
員工,386
元訂,385
中華電信,384
高手,384
團體,383
分批,383
拆開,383
加大,383
方進,383
問我要,383
列印,382
錢財,382
傳說,382
遺失,382
還讓,382
真相,382
家私,382
玩具,382
醒悟,381
完畢,381
創業,380
五千元,380
無影,379
寒問,379
薪資,379
貪心,378
發訊息,378
故向,378
最後還,378
下文,377
還附,377
對方後來,377
真心,377
然後就,377
業務,376
我給,376
給銀行,376
監管,376
老婆,375
海關,375
寶物,375
誇張,375
免費贈,374
掛失,374
該網,374
某銀行,374
博弈,374
藉此,374
延遲,373
堅定,373
起疑心,372
我前,372
全是,372
一聽,372
能力,372
困境,371
將資金,371
即將,371
特定,371
承受,371
快點,371
學習,371
總共新,370
我後悔,370
能協助,369
傷害,369
完整,369
需謹慎,368
受害人,368
農會,367
問暖,367
深入,367
迷惑,367
衝動,367
一套,366
旅遊,366
怎樣,366
並非,365
手工,365
對方謊,364
點了,364
誤信,364
誘騙,364
條款,363
有所,363
渺茫,363
有機,363
抓到,362
美元,362
資金時,362
我興奮,362
幾萬元,362
問他,362
投資人,362
我無法,362
每月,361
先借,361
加為,361
被鎖,361
罰單,361
噓寒,360
並讓,360
當地,360
一刻,359
添加,359
水漂,359
並約定,359
店面,359
機制,359
名義之,358
詐騙者,358
進出,358
還邀,358
官網,358
話語,358
證券,358
不上,357
鞋子,357
總共花,357
台北市,357
著聯絡,357
任何人,357
方詢,356
啟動,356
對方暱,356
還推薦,356
一轉,356
寄回,355
新聞,355
筆錄,355
新加坡,355
難受,355
並承諾,355
然後我,354
考慮,354
真是太,354
說話,354
急迫,354
經常,354
坐在,354
先用,354
就會,353
運作,353
服務費,353
千萬要,353
曾經,353
困惑,352
追問,352
然後把,352
潮水般,352
有限,351
會有,351
好奇心,351
遲疑,351
某處,350
物件,350
冷淡,350
拉高,350
刮樂,349
條理,348
好康,348
連續,348
詳談,348
急切,348
海外,347
弟弟,347
信裡,347
誘餌,347
某些,347
增加收入,347
醫院,346
去問,346
獲取,346
代收,345
放置,345
遊說,345
初期,345
張票,345
網路平,345
數量,345
稱須,345
總損,344
崩潰,344
一度,344
無淚,344
我瞬間,344
號稱,343
但過,343
退休金,343
元匯,343
連忙,343
重要性,342
繳清,341
不太對,341
我付,340
不利,340
羞愧,340
洽談,340
偵辦,340
登不進,339
整起,339
行李箱,339
收貨,339
問了,339
點選,339
這整,338
堅持,338
男生,338
群組名,338
安全帽,337
遭轉,337
送給,337
點開,337
密碼給,336
鎖定,336
口袋,336
泡泡,336
這筆款,335
投進,335
未繳,335
沒回,335
雙方約定,334
具體,334
背景,334
存簿,334
一連串,334
共新,334
模式,334
頻繁,334
停用,334
放款,333
單購,333
怎麼樣,333
智慧,332
稱涉,332
隔日,331
傳訊,331
啟用,330
轉介,330
腦中,330
上去,330
手中,330
球鞋,330
契約,329
我後續,329
責任,328
天真,328
方聯絡,328
電收,328
不停,328
心涼,328
能將,328
他會,327
而已,327
滑手,327
日到,327
有趣,327
影像,327
新光,326
獲利數,326
許能,326
技術,326
職廣告,326
特殊,325
期貨,325
身邊,325
我嚇,325
盜領,325
投資時,325
中間,324
有天,323
私密,323
並購,323
心沉,323
二十,323
分以,323
收回,323
投票,323
七月,323
萬餘元,323
批發,322
天旋,322
我當,322
彩券,322
企業,322
元運費,321
韓國,321
越大,321
臉書時,321
金新,321
並用,321
刷新,321
再轉,321
故至本,321
許多人,320
投資理財,320
明星,320
豐銀行,320
假廣告,320
迫不及待,320
往來,319
款式,319
帳面,319
簡訊驗,319
還挺,319
眼睛,319
不好,319
當對方,318
張門票,318
便照,318
差價,318
取款,318
買遊,317
警員,317
天下,317
熟識,317
判斷力,317
晴天,317
便加,317
競標,317
那段,316
貪念,316
頭像,316
拍給,315
收件,315
正品,315
我正,315
更好,315
健保卡,314
執行,314
我實,314
常用,314
元及,314
並進行,314
共同,313
並詢問,313
冒稱,313
美國,313
永遠,313
那瞬間,312
恭喜,312
匯一筆,312
包裡,312
